"ańo";"sexo";"defunciones";"poblacion";"tasa_100k"
1992;"Hombre";41;6782524;0,604494727921346
1992;"Mujer";17;6988269;0,243264819943251
1993;"Hombre";30;6892733;0,435240999470022
1993;"Mujer";15;7098394;0,211315404583065
1994;"Hombre";37;6999953;0,528574977574849
1994;"Mujer";34;7206476;0,471797866252521
1995;"Hombre";43;7102818;0,60539352127564
1995;"Mujer";25;7311228;0,341939821873972
1996;"Hombre";38;7201658;0,527656270264431
1996;"Mujer";38;7412118;0,512673975238926
1997;"Hombre";43;7298859;0,589133178213197
1997;"Mujer";24;7510982;0,319532119768094
1998;"Hombre";37;7393860;0,500415209376429
1998;"Mujer";47;7607763;0,617790012648922
1999;"Hombre";38;7485035;0,507679656808552
1999;"Mujer";30;7700764;0,389571735999181
2000;"Hombre";44;7574282;0,580913147939303
2000;"Mujer";34;7791341;0,436381875725886
2001;"Hombre";59;7662021;0,770031823196517
2001;"Mujer";42;7881544;0,532890509778287
2002;"Hombre";52;7746283;0,671289701137952
2002;"Mujer";38;7969641;0,476809432193997
2003;"Hombre";54;7827571;0,689869181640128
2003;"Mujer";53;8054521;0,658015541830482
2004;"Hombre";70;7905478;0,885461954356207
2004;"Mujer";42;8136134;0,516215686713124
2005;"Hombre";73;7982296;0,91452384126071
2005;"Mujer";41;8216052;0,499023131791279
2006;"Hombre";64;8060206;0,794024371089275
2006;"Mujer";50;8296532;0,602661449386322
2007;"Hombre";68;8138743;0,835509856988972
2007;"Mujer";71;8378120;0,847445488964111
2008;"Hombre";67;8219721;0,815112824389052
2008;"Mujer";61;8462507;0,720826582477273
2009;"Hombre";64;8304298;0,770685252383766
2009;"Mujer";66;8551186;0,771822762363022
2010;"Hombre";81;8389547;0,965487171119013
2010;"Mujer";55;8640846;0,636511748965321
2011;"Hombre";64;8474800;0,75518006324633
2011;"Mujer";70;8729767;0,801854161743378
2012;"Hombre";85;8561199;0,992851585391252
2012;"Mujer";73;8819398;0,827720894328615
2013;"Hombre";86;8648676;0,994371855299008
2013;"Mujer";57;8910831;0,63967098018131
2014;"Hombre";81;8741838;0,926578598230715
2014;"Mujer";62;9007522;0,688313611668115
2015;"Hombre";91;8843747;1,02897561406947
2015;"Mujer";75;9111128;0,823169205832692
2016;"Hombre";91;8962411;1,01535178424645
2016;"Mujer";95;9228553;1,02941382034648
2017;"Hombre";109;9098711;1,19797188854553
2017;"Mujer";75;9361818;0,801126447875829
2018;"Hombre";110;9245153;1,18981265101832
2018;"Mujer";83;9509341;0,87282599288426
2019;"Hombre";117;9384427;1,24674633837527
2019;"Mujer";66;9655610;0,683540449541769
2020;"Hombre";101;9478239;1,06559878897335
2020;"Mujer";89;9757301;0,912137485560812
2021;"Hombre";126;9552060;1,31908719166337
2021;"Mujer";98;9839553;0,995980203572256
2022;"Hombre";125;9642348;1,2963647443548
2022;"Mujer";99;9939227;0,996053314810095
2023;"Hombre";124;9726085;1,27492202669419
2023;"Mujer";106;10030280;1,05680000957102
